Date,Open,High,Low,Close,Adj Close,Volume,Day
2022-08-10,119.550003,120.900002,116.660004,120.089996,120.089996,1369800,123
2022-08-11,122.599998,126.269997,120.940002,122.730003,122.730003,1985500,124
2022-08-12,124.169998,124.68,121.849998,123.629997,123.629997,910200,125
2022-08-15,122.830002,124.669998,121.449997,122.599998,122.599998,1021700,126
2022-08-16,121.480003,121.739998,117.860001,120.099998,120.099998,872700,127
2022-08-17,117.970001,118.279999,113.779999,114.150002,114.150002,1411600,128
2022-08-18,113.629997,115.440002,112.010002,114.389999,114.389999,1102400,129
2022-08-19,113,113.440002,110.07,111.43,111.43,963400,130
2022-08-22,108.68,110.910004,107.660004,109.599998,109.599998,1213700,131
2022-08-23,109.629997,110.919998,107.419998,108.029999,108.029999,895900,132
2022-08-24,108.089996,112.105003,108.050003,110.050003,110.050003,702000,133
2022-08-25,111.639999,113.599998,110.669998,113.529999,113.529999,860500,134
2022-08-26,113.910004,114.190002,109.029999,109.309998,109.309998,908500,135
2022-08-29,107.449997,110.699997,106.870003,108.559998,108.559998,966000,136
2022-08-30,110.32,111.510002,105.769997,107.230003,107.230003,951600,137
2022-08-31,109.5,110.080002,107.349998,108.150002,108.150002,1050400,138
2022-09-01,106.059998,107.089996,102.18,106.519997,106.519997,1570600,139
2022-09-02,107.550003,108.290001,103.360001,104.419998,104.419998,1405300,140
2022-09-06,104.059998,104.370003,100.620003,102.589996,102.589996,962800,141
2022-09-07,102.349998,106.279999,102.349998,105.860001,105.860001,652300,142
2022-09-08,104.360001,106.550003,103.720001,105.18,105.18,857900,143
2022-09-09,106.309998,110.580002,106.110001,110.279999,110.279999,1616600,144
2022-09-12,111.540001,113.18,109.839996,111.339996,111.339996,1407800,145
2022-09-13,106,106.459999,101.669998,101.959999,101.959999,1729000,146
2022-09-14,101.739998,102.870003,98.599998,102.449997,102.449997,1210400,147
2022-09-15,100.480003,105.459999,100.330002,103.959999,103.959999,1336400,148
2022-09-16,102.260002,102.260002,99.699997,100.339996,100.339996,1348200,149
2022-09-19,99.779999,100.445999,98.029999,99.699997,99.699997,1714800,150
2022-09-20,98.019997,99.25,96.945,97.260002,97.260002,1323300,151
2022-09-21,96.959999,99.427002,95.120003,95.389999,95.389999,873500,152
2022-09-22,94.900002,95.589996,92.440002,92.449997,92.449997,1005100,153
2022-09-23,90.510002,92.370003,88.690002,89.339996,89.339996,1782100,154
2022-09-26,89,91.690002,88.894997,89.139999,89.139999,1578400,155
2022-09-27,91.010002,92.695,88.455002,89.5,89.5,1268400,156
2022-09-28,90.050003,93.290001,89.394997,92.879997,92.879997,1016900,157
2022-09-29,90.949997,91.209999,85.918999,86.839996,86.839996,1524700,158
2022-09-30,86.489998,89.419998,86,86.300003,86.300003,1859000,159
2022-10-03,87.5,89.449997,86.279999,89,89,3551100,160
2022-10-04,91.93,95.459999,91.324997,94.629997,94.629997,2057000,161
2022-10-05,92.279999,93.68,89.110001,91.400002,91.400002,1681900,162
2022-10-06,91.93,93.285004,90.370003,92.25,92.25,1425200,163
2022-10-07,90.059998,90.290001,87.379997,88.010002,88.010002,1276300,164
2022-10-10,88.010002,88.489998,85.919998,85.970001,85.970001,1305100,165
2022-10-11,85,85.779999,80.510002,82.129997,82.129997,1973700,166
2022-10-12,82.150002,84.824997,80,83.18,83.18,4097000,167
2022-10-13,79.860001,84.43,78.5,82.650002,82.650002,2378200,168
2022-10-14,84.360001,85.879997,81.720001,81.790001,81.790001,1644600,169
2022-10-17,84.5,87.349998,84.190002,86.720001,86.720001,1189100,170
2022-10-18,89.410004,90.260002,86.518997,88.040001,88.040001,1810900,171
2022-10-19,89.360001,90.611,87.580002,88.75,88.75,1308100,172
2022-10-20,87.25,90.43,86.620003,87.739998,87.739998,1314300,173
2022-10-21,85.550003,89.269997,84.519997,88.699997,88.699997,1737800,174
2022-10-24,88.959999,97.07,84.080002,94.660004,94.660004,6219400,175
2022-10-25,95.57,98.639999,95.080002,97.050003,97.050003,3226200,176
2022-10-26,91.529999,91.980003,84,84.419998,84.419998,8005500,177
2022-10-27,84.230003,84.519997,80.019997,81.739998,81.739998,3597200,178
2022-10-28,81.419998,83.360001,80.529999,83.360001,83.360001,2460700,179
2022-10-31,83,83.660004,80.32,80.580002,80.580002,1994700,180
2022-11-01,81.599998,84.629997,80.129997,80.169998,80.169998,2690000,181
2022-11-02,79.800003,79.860001,74.849998,75,75,3244400,182
2022-11-03,73.669998,74.25,71.449997,71.720001,71.720001,3530800,183
2022-11-04,73.230003,73.489998,69.285004,71.050003,71.050003,2054900,184
2022-11-07,72.650002,73.629997,71.285004,73.440002,73.440002,1520900,185
2022-11-08,73.199997,74.745003,71.290001,73.269997,73.269997,1321500,186
2022-11-09,71.93,72.330002,70.010002,71.400002,71.400002,1680900,187
2022-11-10,75.93,78.599998,75.650002,78.440002,78.440002,2078800,188
2022-11-11,79.599998,83.779999,78.110001,83.709999,83.709999,1987100,189
2022-11-14,82.209999,83.809998,81.459999,82.5,82.5,1338400,190
2022-11-15,85.989998,86.841003,83.709999,85.110001,85.110001,1326200,191
2022-11-16,83.540001,84.209999,82.260002,82.5,82.5,953400,192
2022-11-17,80,80.099998,77.669998,79.449997,79.449997,1941400,193
2022-11-18,80.870003,80.870003,76.019997,76.989998,76.989998,1601400,194
2022-11-21,75.889999,75.889999,73.75,74.120003,74.120003,1392500,195
2022-11-22,72.970001,75.349998,70.18,75.25,75.25,1614300,196
2022-11-23,75.5,78.599998,74.779999,78.260002,78.260002,905600,197
2022-11-25,77.849998,79.285004,77.184998,78.730003,78.730003,602200,198
2022-11-28,77.75,79.375,76.440002,76.730003,76.730003,1136700,199
2022-11-29,77,77.668999,74.894997,75.099998,75.099998,1007000,200
2022-11-30,75.389999,79.720001,74.510002,79.419998,79.419998,1514800,201
2022-12-01,80.25,82.349998,78.949997,79.449997,79.449997,1021500,202
2022-12-02,77.860001,80.419998,76.695,80.309998,80.309998,1153900,203
2022-12-05,79.5,81.644997,77.93,78.309998,78.309998,1171800,204
2022-12-06,78.309998,78.480003,74.550003,75.160004,75.160004,1647100,205
2022-12-07,74.519997,75.970001,73.599998,75.720001,75.720001,1279600,206
2022-12-08,76,78.169998,74.660004,77.800003,77.800003,1314700,207
2022-12-09,78.160004,80,77.635002,78.169998,78.169998,1529500,208
2022-12-12,77.910004,79.82,77.059998,79.730003,79.730003,1413700,209
2022-12-13,83.949997,87.480003,80.050003,80.959999,80.959999,3865000,210
2022-12-14,80.239998,81.32,78.209999,79.32,79.32,1186700,211
2022-12-15,77.309998,78.269997,72.32,72.360001,72.360001,3261300,212
2022-12-16,72.120003,75.260002,71.720001,74.739998,74.739998,3499900,213
2022-12-19,74.540001,74.800003,72.839996,73.260002,73.260002,1292700,214
2022-12-20,72.199997,77.349998,72.199997,76.510002,76.510002,2010300,215
2022-12-21,76.93,79.394997,76.5,77.489998,77.489998,1509100,216
2022-12-22,75.919998,78.059998,75.739998,77.959999,77.959999,1646000,217
2022-12-23,77.599998,78.18,76.190002,77.699997,77.699997,943900,218
2022-12-27,76.650002,76.919998,73.93,76.519997,76.519997,1178600,219
2022-12-28,76.089996,78.239998,76.07,76.610001,76.610001,1616300,220
2022-12-29,78,79.440002,77.693001,79.010002,79.010002,979200,221
2022-12-30,76.769997,79.050003,76.529999,78.949997,78.949997,1255000,222
2023-01-03,81.879997,81.989998,79.239998,81.900002,81.900002,1286800,223
2023-01-04,83,83.370003,80.870003,81.330002,81.330002,1842900,224
2023-01-05,80.610001,82.610001,79.139999,81.580002,81.580002,1557100,225
2023-01-06,82.650002,84.25,79.849998,83.540001,83.540001,1185100,226
2023-01-09,84.449997,86.32,83.772003,85.040001,85.040001,1376800,227
2023-01-10,84.860001,91,84.690002,90.790001,90.790001,2044800,228
2023-01-11,91.32,93.279999,90.080002,91.75,91.75,1631000,229
2023-01-12,89.139999,91.669998,88.410004,91.199997,91.199997,1774400,230
2023-01-13,90.68,92.080002,90.356003,92.059998,92.059998,2135100,231
